"LLgeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","LLgeneAbbrev","padjbound","pvaluebound","chrom","txStart","chromosomenumber"
"LL0000013458",31525.7450099803,-1.47807919858135,0.176176837707105,-8.3897475844053,4.87187050875861e-17,8.59738988680631e-13,"krt15",1e-10,1e-10,"chr11",11515777,"11"
"LL0000027216",40.3379756149099,-3.9173711243868,0.49300230984238,-7.94594882453845,1.92709975658869e-15,1.70037647022603e-11,"si:dkey-22i16.7",1e-10,1e-10,"chr1",43945599,"1"
"LL0000019841",1351.19419579813,-1.20110847664093,0.161996112013876,-7.41442780144036,1.22151029952505e-13,7.18533075190618e-10,"myl10",7.18533075190618e-10,1e-10,"chr10",33171861,"10"
"LL0000030763",241.692229627077,-1.2838175478548,0.180997488667833,-7.09301304290945,1.31223084055968e-12,5.78923441083917e-09,"tnni1d",5.78923441083917e-09,1e-10,"chr4",26357390,"4"
"LL0000008724",521.165810562817,-0.756580582038458,0.108084590757853,-6.99989310903219,2.56157865675311e-12,8.53288594167609e-09,"dcn",8.53288594167609e-09,1e-10,"chr4",16368761,"4"
"LL0000013166",92.3197697112551,1.87696209217497,0.268812189242425,6.98242924721788,2.90119089080617e-12,8.53288594167609e-09,"kcnk10a",8.53288594167609e-09,1e-10,"chr20",10166701,"20"
"LL0000005523",344.353833906785,-1.15272962769498,0.171638783284844,-6.71602073630385,1.86754228926856e-11,4.70807411124604e-08,"cfd",4.70807411124604e-08,1e-10,"chr13",13681678,"13"
"LL0000019802",120.898745375807,-1.32323024871218,0.200775638370956,-6.59059166464888,4.3807722425432e-11,9.63573784698072e-08,"mybpc3",9.63573784698072e-08,1e-10,"chr7",31838262,"7"
"LL0000007398",6439.36968669449,1.4212434280021,0.216207658079936,6.57351104315021,4.91424268276911e-11,9.63573784698072e-08,"crygm2f",9.63573784698072e-08,1e-10,"chr9",22344594,"9"
"LL0000030758",300.652139660707,-1.13289351236657,0.174413706714111,-6.49543853926312,8.27918824849588e-11,1.46102835021207e-07,"tnnc1b",1.46102835021207e-07,1e-10,"chr23",20110172,"23"
"LL0000006441",17.0419773289862,-3.88548945935397,0.600223510186302,-6.47340431258343,9.58191034358136e-11,1.537199743938e-07,"CR385050.2",1.537199743938e-07,1e-10,NA,NA,NA
"LL0000007378",488156.685557025,1.1687383989199,0.181887034701611,6.42562786752358,1.31326318758631e-10,1.93126295594463e-07,"crygm2d1",1.93126295594463e-07,1.31326318758631e-10,"chr9",22338653,"9"
"LL0000022952",1208.73134299846,-1.41927846667059,0.222954794490386,-6.36576786749383,1.94315126941378e-10,2.63775311164192e-07,"pvalb7",2.63775311164192e-07,1.94315126941378e-10,"chr22",29168693,"22"
"LL0000005786",623.790034652833,-1.14685058079463,0.182032099432584,-6.30026563649761,2.97135972721179e-10,3.74539893615046e-07,"cldni",3.74539893615046e-07,2.97135972721179e-10,"chr3",30921394,"3"
"LL0000001104",1119.59156101525,-1.11522467658155,0.178750902719255,-6.23898766169097,4.4041172650599e-10,5.18129715843414e-07,"anxa2a",5.18129715843414e-07,4.4041172650599e-10,"chr25",34013330,"25"
